,Protocol Type,Service,Flag,Logged In,Count,Serror Rate,Srv Serror Rate,Rerror Rate,Srv Rerror Rate,Same Srv Rate,Dst Host Count,Dst Host Srv Count,Dst Host Same Srv Rate,Dst Host Serror Rate,Dst Host Srv Serror Rate,Dst Host Rerror Rate,Dst Host Srv Rerror Rate,Difficulty Level,Class
55,1,57,5,0,252,1.0,1.0,0.0,0.0,0.03,255,18,0.07,1.0,1.0,0.0,0.0,19,0
56,1,52,5,0,211,1.0,1.0,0.0,0.0,0.09,255,11,0.04,1.0,1.0,0.0,0.0,21,0
57,1,49,1,0,251,0.0,0.0,1.0,1.0,0.02,255,5,0.02,0.0,0.0,1.0,1.0,21,0
58,0,15,9,0,511,0.0,0.0,0.0,0.0,1.0,219,125,0.57,0.01,0.0,0.29,0.0,18,0
59,1,31,1,0,100,0.0,0.0,1.0,1.0,0.01,255,1,0.0,0.0,0.0,1.0,1.0,20,0
60,1,9,5,0,258,1.0,1.0,0.0,0.0,0.09,255,22,0.09,1.0,1.0,0.0,0.0,20,0
61,1,24,9,1,2,0.5,0.5,0.0,0.0,1.0,255,255,1.0,0.01,0.01,0.05,0.05,18,0
62,1,20,5,0,69,1.0,1.0,0.0,0.0,0.23,255,64,0.25,1.0,1.0,0.0,0.0,19,0
63,1,49,5,0,209,1.0,1.0,0.0,0.0,0.05,255,11,0.04,1.0,1.0,0.0,0.0,21,0
64,1,11,5,0,259,1.0,1.0,0.0,0.0,0.08,255,21,0.08,1.0,1.0,0.0,0.0,20,0
65,1,7,5,0,260,1.0,1.0,0.0,0.0,0.01,255,18,0.07,1.0,1.0,0.0,0.0,18,0
66,1,6,5,0,107,1.0,1.0,0.0,0.0,0.1,255,11,0.04,1.0,1.0,0.0,0.0,18,0
67,1,49,5,0,129,1.0,1.0,0.0,0.0,0.09,255,14,0.05,1.0,1.0,0.0,0.0,21,0
68,1,29,5,0,247,1.0,1.0,0.0,0.0,0.04,255,10,0.04,1.0,1.0,0.0,0.0,20,0
69,1,49,5,0,256,1.0,1.0,0.0,0.0,0.07,255,19,0.07,1.0,1.0,0.0,0.0,21,0
70,1,49,5,0,104,1.0,1.0,0.0,0.0,0.04,255,3,0.01,1.0,1.0,0.0,0.0,21,0
71,1,20,5,0,52,1.0,1.0,0.0,0.0,0.23,214,52,0.24,0.99,1.0,0.0,0.0,18,0
72,0,15,9,0,511,0.0,0.0,0.0,0.0,1.0,255,178,0.7,0.0,0.0,0.24,0.0,19,0
73,1,7,5,0,236,1.0,1.0,0.0,0.0,0.08,255,20,0.08,1.0,1.0,0.0,0.0,20,0
74,1,11,5,0,283,1.0,1.0,0.0,0.0,0.03,255,9,0.04,1.0,1.0,0.0,0.0,20,0
75,1,6,5,0,111,1.0,1.0,0.0,0.0,0.08,255,9,0.04,1.0,1.0,0.0,0.0,18,0
76,1,17,5,0,115,1.0,1.0,0.0,0.0,0.13,255,15,0.06,1.0,1.0,0.0,0.0,21,0
77,1,39,5,0,206,1.0,1.0,0.0,0.0,0.04,255,9,0.04,1.0,1.0,0.0,0.0,21,0
78,1,28,5,0,199,1.0,1.0,0.0,0.0,0.01,255,1,0.0,1.0,1.0,0.0,0.0,20,0
79,1,49,1,0,46,0.0,0.0,1.0,1.0,0.35,255,16,0.06,0.0,0.0,1.0,1.0,21,0
80,1,49,5,0,121,1.0,1.0,0.0,0.0,0.18,255,22,0.09,1.0,1.0,0.0,0.0,21,0
81,1,7,5,0,232,1.0,1.0,0.0,0.0,0.08,255,18,0.07,1.0,1.0,0.0,0.0,20,0
82,1,4,1,0,267,0.0,0.0,1.0,1.0,0.07,255,19,0.07,0.0,0.0,1.0,1.0,19,0
83,1,49,5,0,51,1.0,1.0,0.0,0.0,0.27,255,15,0.06,1.0,1.0,0.0,0.0,21,0
84,1,18,5,0,21,1.0,1.0,0.0,0.0,0.29,255,66,0.26,1.0,1.0,0.0,0.0,20,0
85,1,67,5,0,207,1.0,1.0,0.0,0.0,0.1,255,21,0.08,1.0,1.0,0.0,0.0,18,0
86,1,33,1,0,243,0.0,0.0,1.0,1.0,0.03,255,8,0.03,0.0,0.0,1.0,1.0,19,0
87,1,20,5,0,13,0.92,1.0,0.08,0.0,0.23,255,45,0.18,1.0,1.0,0.0,0.0,18,0
88,1,9,5,0,11,1.0,1.0,0.0,0.0,0.27,255,7,0.03,1.0,1.0,0.0,0.0,18,0
89,1,18,5,0,28,1.0,1.0,0.0,0.0,0.25,255,64,0.25,1.0,1.0,0.0,0.0,20,0
90,1,40,5,0,230,1.0,1.0,0.0,0.0,0.07,255,2,0.01,1.0,1.0,0.0,0.0,18,0
91,1,38,5,0,234,1.0,1.0,0.0,0.0,0.01,255,2,0.01,1.0,1.0,0.0,0.0,20,0
92,1,49,5,0,183,1.0,1.0,0.0,0.0,0.1,255,8,0.03,1.0,1.0,0.0,0.0,20,0
93,1,49,5,0,239,1.0,1.0,0.0,0.0,0.02,255,4,0.02,1.0,1.0,0.0,0.0,21,0
94,1,49,5,0,300,1.0,1.0,0.0,0.0,0.06,255,18,0.07,1.0,1.0,0.0,0.0,21,0
95,1,17,5,0,146,1.0,1.0,0.0,0.0,0.15,255,22,0.09,1.0,1.0,0.0,0.0,19,0
96,1,63,5,0,225,1.0,1.0,0.0,0.0,0.01,255,14,0.05,1.0,1.0,0.0,0.0,19,0
97,1,49,5,0,115,1.0,1.0,0.0,0.0,0.08,114,9,0.08,1.0,1.0,0.0,0.0,18,0
98,1,26,5,0,227,1.0,1.0,0.0,0.0,0.04,255,8,0.03,1.0,1.0,0.0,0.0,20,0
99,1,24,5,0,7,1.0,1.0,0.0,0.0,0.71,255,33,0.13,1.0,1.0,0.0,0.0,18,0
100,1,37,5,0,275,1.0,1.0,0.0,0.0,0.03,255,7,0.03,1.0,1.0,0.0,0.0,20,0
101,1,20,5,0,63,0.98,1.0,0.02,0.0,0.22,255,34,0.13,1.0,1.0,0.0,0.0,18,0
102,2,49,9,0,98,0.0,0.0,0.0,0.0,1.0,255,98,0.38,0.0,0.0,0.0,0.0,18,0
103,1,5,5,0,122,1.0,1.0,0.0,0.0,0.06,255,7,0.03,1.0,1.0,0.0,0.0,19,0
104,0,15,9,0,2,0.0,0.0,0.0,0.0,1.0,219,74,0.34,0.0,0.0,0.0,0.0,11,0
105,1,56,5,0,90,1.0,1.0,0.0,0.0,0.27,255,12,0.05,1.0,1.0,0.0,0.0,18,0
106,1,2,5,0,274,1.0,1.0,0.0,0.0,0.01,255,2,0.01,1.0,1.0,0.0,0.0,18,0
107,1,69,5,0,236,1.0,1.0,0.0,0.0,0.07,255,16,0.06,1.0,1.0,0.0,0.0,20,0
108,0,15,9,0,511,0.0,0.0,0.0,0.0,1.0,205,111,0.54,0.01,0.0,0.31,0.0,18,0
109,1,46,1,0,268,0.0,0.0,1.0,1.0,0.03,255,7,0.03,0.0,0.0,1.0,1.0,21,0
110,1,49,1,0,142,0.0,0.0,1.0,1.0,0.03,255,4,0.02,0.0,0.0,1.0,1.0,21,0
111,1,2,5,0,280,1.0,1.0,0.0,0.0,0.07,255,20,0.08,1.0,1.0,0.0,0.0,20,0
112,1,54,5,0,9,1.0,1.0,0.0,0.0,1.0,71,136,0.41,0.97,0.21,0.0,0.0,14,0
113,1,66,2,0,113,0.0,0.0,1.0,1.0,0.12,255,13,0.05,0.0,0.0,1.0,1.0,19,0
114,1,49,1,0,86,0.0,0.0,1.0,1.0,0.13,255,11,0.04,0.0,0.0,1.0,1.0,21,0
115,1,49,1,0,73,0.0,0.0,1.0,1.0,0.12,255,9,0.04,0.0,0.0,1.0,1.0,21,0
116,1,67,5,0,250,1.0,1.0,0.0,0.0,0.0,255,16,0.06,1.0,1.0,0.0,0.0,18,0
117,1,49,5,0,115,1.0,1.0,0.0,0.0,0.01,255,16,0.06,1.0,1.0,0.0,0.0,21,0
118,1,49,5,0,201,1.0,1.0,0.0,0.0,0.01,5,2,0.4,0.6,1.0,0.0,0.0,18,0
119,1,6,1,0,141,0.0,0.0,1.0,1.0,0.13,255,18,0.07,0.0,0.0,1.0,1.0,20,0
120,1,11,5,0,201,1.0,1.0,0.0,0.0,0.11,255,23,0.09,1.0,1.0,0.0,0.0,18,0
121,1,49,5,0,198,1.0,1.0,0.0,0.0,0.03,255,6,0.02,1.0,1.0,0.0,0.0,21,0
122,1,49,5,0,283,1.0,1.0,0.0,0.0,0.05,255,19,0.07,1.0,1.0,0.0,0.0,21,0
123,1,49,5,0,186,1.0,1.0,0.0,0.0,0.13,255,25,0.1,1.0,1.0,0.0,0.0,20,0
124,1,31,5,0,76,1.0,1.0,0.0,0.0,0.2,255,15,0.06,1.0,1.0,0.0,0.0,18,0
125,1,19,5,0,234,1.0,1.0,0.0,0.0,0.02,255,6,0.02,1.0,1.0,0.0,0.0,19,0
126,1,4,1,0,175,0.0,0.0,1.0,1.0,0.11,255,19,0.07,0.0,0.0,1.0,1.0,18,0
127,1,49,5,0,146,1.0,1.0,0.0,0.0,0.03,255,1,0.0,1.0,1.0,0.0,0.0,21,0
128,1,49,5,0,222,1.0,1.0,0.0,0.0,0.06,255,7,0.03,1.0,1.0,0.0,0.0,21,0
129,1,49,5,0,148,1.0,1.0,0.0,0.0,0.1,255,7,0.03,1.0,1.0,0.0,0.0,21,0
130,1,20,5,0,2,1.0,1.0,0.0,0.0,0.5,82,48,0.26,1.0,0.44,0.0,0.0,18,0
131,1,2,5,0,235,1.0,1.0,0.0,0.0,0.01,255,3,0.01,1.0,1.0,0.0,0.0,20,0
132,1,2,5,0,280,1.0,1.0,0.0,0.0,0.06,255,17,0.07,1.0,1.0,0.0,0.0,20,0
133,1,49,5,0,103,1.0,1.0,0.0,0.0,0.15,255,19,0.07,1.0,1.0,0.0,0.0,21,0
134,1,57,5,0,296,1.0,1.0,0.0,0.0,0.08,255,25,0.1,1.0,1.0,0.0,0.0,19,0
135,1,13,5,0,204,1.0,1.0,0.0,0.0,0.07,255,15,0.06,1.0,1.0,0.0,0.0,20,0
136,1,19,5,0,238,1.0,1.0,0.0,0.0,0.0,255,14,0.05,1.0,1.0,0.0,0.0,18,0
137,1,49,5,0,247,1.0,1.0,0.0,0.0,0.0,205,1,0.0,0.99,1.0,0.0,0.0,19,0
138,1,39,5,0,298,1.0,1.0,0.0,0.0,0.07,255,12,0.05,1.0,1.0,0.0,0.0,20,0
139,1,18,5,0,7,1.0,1.0,0.0,0.0,0.43,255,41,0.16,1.0,1.0,0.0,0.0,18,0
140,1,49,5,0,194,1.0,1.0,0.0,0.0,0.09,255,4,0.02,1.0,1.0,0.0,0.0,20,0
141,1,13,5,0,264,1.0,1.0,0.0,0.0,0.07,255,18,0.07,1.0,1.0,0.0,0.0,20,0
142,1,63,2,0,264,0.0,0.0,1.0,1.0,0.03,255,8,0.03,0.0,0.0,1.0,1.0,20,0
143,1,8,5,0,127,1.0,1.0,0.0,0.0,0.15,255,19,0.07,1.0,1.0,0.0,0.0,20,0
144,1,24,5,0,126,1.0,1.0,0.0,0.0,0.13,255,3,0.01,1.0,1.0,0.0,0.0,18,0
145,1,49,1,0,103,0.0,0.0,1.0,1.0,0.08,255,6,0.02,0.0,0.0,1.0,1.0,21,0
146,1,17,2,0,113,0.0,0.0,1.0,1.0,0.04,255,5,0.02,0.0,0.0,1.0,1.0,20,0
147,1,33,5,0,296,1.0,1.0,0.0,0.0,0.01,255,8,0.03,1.0,1.0,0.0,0.0,19,0
148,0,15,9,0,21,0.0,0.0,0.0,0.0,1.0,255,21,0.08,0.0,0.0,0.0,0.0,17,0
149,1,66,5,0,2,1.0,1.0,0.0,0.0,1.0,255,2,0.01,1.0,1.0,0.0,0.0,19,0
150,1,66,5,0,121,1.0,1.0,0.0,0.0,0.05,255,12,0.05,1.0,1.0,0.0,0.0,19,0
151,1,34,5,0,102,1.0,1.0,0.0,0.0,0.18,255,18,0.07,1.0,1.0,0.0,0.0,19,0
152,1,40,1,0,207,0.0,0.0,1.0,1.0,0.02,255,4,0.02,0.0,0.0,1.0,1.0,21,0
153,1,40,5,0,286,1.0,1.0,0.0,0.0,0.08,255,24,0.09,1.0,1.0,0.0,0.0,20,0
154,1,46,1,0,196,0.0,0.0,1.0,1.0,0.03,255,6,0.02,0.0,0.0,1.0,1.0,21,0
155,1,44,5,0,253,1.0,1.0,0.0,0.0,0.06,255,14,0.05,1.0,1.0,0.0,0.0,21,0
156,1,49,1,0,144,0.0,0.0,1.0,1.0,0.03,255,5,0.02,0.0,0.0,1.0,1.0,21,0
157,1,18,5,0,210,1.0,1.0,0.0,0.0,0.1,255,20,0.08,1.0,1.0,0.0,0.0,19,0
158,1,5,5,0,180,1.0,1.0,0.0,0.0,0.1,255,18,0.07,1.0,1.0,0.0,0.0,18,0
159,1,49,1,0,51,0.0,0.0,1.0,1.0,0.2,255,10,0.04,0.0,0.0,1.0,1.0,21,0
160,1,4,5,0,257,1.0,1.0,0.0,0.0,0.07,255,19,0.07,1.0,1.0,0.0,0.0,20,0
161,1,2,5,0,10,1.0,1.0,0.0,0.0,0.4,255,4,0.02,1.0,1.0,0.0,0.0,19,0
162,1,49,5,0,47,1.0,1.0,0.0,0.0,0.02,255,14,0.05,1.0,1.0,0.0,0.0,19,0
163,1,30,5,0,150,1.0,1.0,0.0,0.0,0.17,255,25,0.1,1.0,1.0,0.0,0.0,18,0
164,1,5,1,0,263,0.0,0.0,1.0,1.0,0.05,255,12,0.05,0.0,0.0,1.0,1.0,19,0
165,1,26,5,0,149,1.0,1.0,0.0,0.0,0.17,255,25,0.1,1.0,1.0,0.0,0.0,19,0
166,1,24,5,0,127,1.0,1.0,0.0,0.0,0.15,255,19,0.07,1.0,1.0,0.0,0.0,19,0
167,1,11,5,0,290,1.0,1.0,0.0,0.0,0.04,255,9,0.04,1.0,1.0,0.0,0.0,20,0
168,1,23,5,0,232,1.0,1.0,0.0,0.0,0.04,255,10,0.04,1.0,1.0,0.0,0.0,20,0
169,0,15,9,0,511,0.0,0.0,0.0,0.0,1.0,255,31,0.12,0.0,0.0,0.0,0.0,18,0
170,1,49,5,0,286,1.0,1.0,0.0,0.0,0.03,255,19,0.07,1.0,1.0,0.0,0.0,21,0
171,1,5,5,0,264,1.0,1.0,0.0,0.0,0.04,255,11,0.04,1.0,1.0,0.0,0.0,20,0
172,1,49,5,0,150,1.0,1.0,0.0,0.0,0.07,255,7,0.03,1.0,1.0,0.0,0.0,21,0
173,1,36,5,0,240,1.0,1.0,0.0,0.0,0.02,255,4,0.02,1.0,1.0,0.0,0.0,20,0
174,1,38,5,0,244,1.0,1.0,0.0,0.0,0.02,255,4,0.02,1.0,1.0,0.0,0.0,20,0
175,1,6,5,0,128,1.0,1.0,0.0,0.0,0.18,255,23,0.09,1.0,1.0,0.0,0.0,19,0
176,1,49,5,0,295,1.0,1.0,0.0,0.0,0.06,255,4,0.02,1.0,1.0,0.0,0.0,21,0
177,1,9,5,0,280,1.0,1.0,0.0,0.0,0.09,255,25,0.1,1.0,1.0,0.0,0.0,19,0
178,1,49,5,0,42,1.0,1.0,0.0,0.0,0.33,255,14,0.05,1.0,1.0,0.0,0.0,21,0
179,1,40,5,0,143,1.0,1.0,0.0,0.0,0.08,255,4,0.02,1.0,1.0,0.0,0.0,20,0
180,1,49,5,0,22,1.0,1.0,0.0,0.0,0.09,255,15,0.06,1.0,1.0,0.0,0.0,20,0
181,1,5,5,0,215,1.0,1.0,0.0,0.0,0.01,255,19,0.07,1.0,1.0,0.0,0.0,18,0
182,1,10,5,0,242,1.0,1.0,0.0,0.0,0.02,255,4,0.02,1.0,1.0,0.0,0.0,20,0
183,0,15,9,0,24,0.0,0.0,0.0,0.0,1.0,255,255,1.0,0.0,0.0,0.0,0.0,18,0
184,1,49,5,0,299,1.0,1.0,0.0,0.0,0.06,255,3,0.01,1.0,1.0,0.0,0.0,21,0
185,1,38,5,0,240,1.0,1.0,0.0,0.0,0.08,255,19,0.07,1.0,1.0,0.0,0.0,20,0
186,1,49,5,0,31,1.0,1.0,0.0,0.0,0.77,255,24,0.09,1.0,1.0,0.0,0.0,18,0
187,1,30,5,0,138,1.0,1.0,0.0,0.0,0.02,255,2,0.01,1.0,1.0,0.0,0.0,20,0
188,1,49,5,0,27,1.0,1.0,0.0,0.0,0.3,255,21,0.08,1.0,1.0,0.0,0.0,20,0
189,1,8,5,0,259,1.0,1.0,0.0,0.0,0.02,255,6,0.02,1.0,1.0,0.0,0.0,20,0
190,1,60,5,0,264,1.0,1.0,0.0,0.0,0.06,255,2,0.01,1.0,1.0,0.0,0.0,18,0
191,1,49,5,0,134,1.0,1.0,0.0,0.0,0.13,255,7,0.03,1.0,1.0,0.0,0.0,21,0
192,2,49,9,0,67,0.0,0.0,0.0,0.0,1.0,255,34,0.13,0.0,0.0,0.0,0.0,15,0
193,1,42,5,0,197,1.0,1.0,0.0,0.0,0.1,255,19,0.07,1.0,1.0,0.0,0.0,19,0
194,1,19,5,0,300,1.0,1.0,0.0,0.0,0.07,255,20,0.08,1.0,1.0,0.0,0.0,19,0
195,1,5,5,0,266,1.0,1.0,0.0,0.0,0.04,255,11,0.04,1.0,1.0,0.0,0.0,20,0
196,1,16,1,0,128,0.0,0.0,1.0,1.0,0.01,255,1,0.0,0.0,0.0,1.0,1.0,18,0
197,1,2,5,0,264,1.0,1.0,0.0,0.0,0.06,255,15,0.06,1.0,1.0,0.0,0.0,19,0
198,1,20,5,0,29,1.0,1.0,0.0,0.0,0.24,255,47,0.18,1.0,1.0,0.0,0.0,18,0
199,1,60,5,0,82,1.0,1.0,0.0,0.0,0.16,255,13,0.05,1.0,1.0,0.0,0.0,18,0
200,1,41,5,0,138,1.0,1.0,0.0,0.0,0.12,255,16,0.06,1.0,1.0,0.0,0.0,19,0
201,1,5,1,0,149,0.0,0.0,1.0,1.0,0.13,255,20,0.08,0.0,0.0,1.0,1.0,18,0
202,1,17,2,0,116,0.0,0.0,1.0,1.0,0.02,255,2,0.01,0.0,0.0,1.0,1.0,19,0
203,1,30,5,0,6,1.0,1.0,0.0,0.0,1.0,255,6,0.02,1.0,1.0,0.0,0.0,18,0
204,1,30,5,0,118,1.0,1.0,0.0,0.0,0.01,255,1,0.0,1.0,1.0,0.0,0.0,20,0
205,1,18,5,0,44,1.0,1.0,0.0,0.0,0.23,255,55,0.22,1.0,1.0,0.0,0.0,18,0
206,1,49,5,0,261,1.0,1.0,0.0,0.0,0.08,255,1,0.0,1.0,1.0,0.0,0.0,21,0
207,1,68,5,0,203,1.0,1.0,0.0,0.0,0.09,255,18,0.07,1.0,1.0,0.0,0.0,18,0
208,0,15,9,0,474,0.0,0.0,0.0,0.0,1.0,255,255,1.0,0.0,0.0,0.0,0.0,20,0
209,1,49,1,0,76,0.0,0.0,1.0,1.0,0.25,255,19,0.07,0.0,0.0,1.0,1.0,21,0
210,1,49,1,0,131,0.0,0.0,1.0,1.0,0.04,255,5,0.02,0.0,0.0,1.0,1.0,21,0
211,0,15,9,0,511,0.0,0.0,0.0,0.0,1.0,255,150,0.59,0.01,0.0,0.0,0.0,19,0
212,1,49,5,0,158,1.0,1.0,0.0,0.0,0.11,255,17,0.07,1.0,1.0,0.0,0.0,21,0
213,0,15,9,0,26,0.0,0.0,0.0,0.0,1.0,255,255,1.0,0.0,0.0,0.0,0.0,18,0
214,1,23,5,0,276,1.0,1.0,0.0,0.0,0.02,255,6,0.02,1.0,1.0,0.0,0.0,20,0
215,1,49,5,0,245,1.0,1.0,0.0,0.0,0.07,255,3,0.01,1.0,1.0,0.0,0.0,21,0
216,1,4,5,0,278,1.0,1.0,0.0,0.0,0.09,255,24,0.09,1.0,1.0,0.0,0.0,19,0
217,1,29,1,0,256,0.0,0.0,1.0,1.0,0.01,255,3,0.01,0.0,0.0,1.0,1.0,19,0
218,1,31,1,0,149,0.0,0.0,1.0,1.0,0.13,255,19,0.07,0.0,0.0,1.0,1.0,20,0
219,1,49,5,0,211,1.0,1.0,0.0,0.0,0.11,152,23,0.15,0.91,1.0,0.01,0.0,18,0
220,1,49,5,0,221,1.0,1.0,0.0,0.0,0.07,255,7,0.03,1.0,1.0,0.0,0.0,21,0
221,1,20,5,0,64,1.0,1.0,0.0,0.0,0.25,255,44,0.17,1.0,1.0,0.0,0.0,18,0
222,1,16,5,0,144,1.0,1.0,0.0,0.0,0.1,255,15,0.06,1.0,1.0,0.0,0.0,20,0
223,1,24,9,1,2,0.0,0.0,0.0,0.0,1.0,255,255,1.0,0.01,0.01,0.05,0.05,16,0
224,1,49,5,0,177,1.0,1.0,0.0,0.0,0.03,255,16,0.06,1.0,1.0,0.0,0.0,20,0
225,1,67,5,0,115,1.0,1.0,0.0,0.0,0.1,255,11,0.04,1.0,1.0,0.0,0.0,20,0
226,1,49,5,0,291,1.0,1.0,0.0,0.0,0.04,255,8,0.03,1.0,1.0,0.0,0.0,21,0
